"","spp","genus","species","species2"
"1","Abra alba","Abra","alba",NA
"2","Adamsia carciniopados","Adamsia","carciniopados",NA
"3","Adamsia palliata","Adamsia","palliata",NA
"4","Aequipecten opercularis","Aequipecten","opercularis",NA
"5","Agonus cataphractus","Agonus","cataphractus",NA
"6","Alcyonidium diaphanum","Alcyonidium","diaphanum",NA
"7","Alcyonidium gelatinosum","Alcyonidium","gelatinosum",NA
"8","Alcyonium digitatum","Alcyonium","digitatum",NA
"9","Alloteuthis","Alloteuthis",NA,NA
"10","Alopias vulpinus","Alopias","vulpinus",NA
"11","Alosa alosa","Alosa","alosa",NA
"12","Alosa fallax","Alosa","fallax",NA
"13","Ammodytes tobianus","Ammodytes","tobianus",NA
"14","Anguilla anguilla","Anguilla","anguilla",NA
"15","Anseropoda placenta","Anseropoda","placenta",NA
"16","Antedon","Antedon",NA,NA
"17","Aphrodita aculeata","Aphrodita","aculeata",NA
"18","Arnoglossus laterna","Arnoglossus","laterna",NA
"19","Ascidia","Ascidia",NA,NA
"20","Ascidiacea","Ascidiacea",NA,NA
"21","Asterias rubens","Asterias","rubens",NA
"22","Atelecyclus undecimdentatus","Atelecyclus","undecimdentatus",NA
"23","Atherina presbyter","Atherina","presbyter",NA
"24","Balistes capriscus","Balistes","capriscus",NA
"25","Belone belone","Belone","belone",NA
"26","Bivalvia","Bivalvia",NA,NA
"27","Blennius ocellaris","Blennius","ocellaris",NA
"28","Botryllus","Botryllus",NA,NA
"29","Buccinum undatum","Buccinum","undatum",NA
"30","Buglossidium luteum","Buglossidium","luteum",NA
"31","Callionymus","Callionymus",NA,NA
"32","Callionymus lyra","Callionymus","lyra",NA
"33","Calliostoma granulatum","Calliostoma","granulatum",NA
"34","Calliostoma zizyphinum","Calliostoma","zizyphinum",NA
"35","Cancer pagurus","Cancer","pagurus",NA
"36","Carcinus maenas","Carcinus","maenas",NA
"37","Chelidonichthys cuculus","Chelidonichthys","cuculus",NA
"38","Chelidonichthys lucerna","Chelidonichthys","lucerna",NA
"39","Chelon labrosus","Chelon","labrosus",NA
"40","Chrysaora hysoscella","Chrysaora","hysoscella",NA
