ScientificName;;AphiaID;Match type;Taxon status;ScientificName;AphiaID_accepted;ScientificName_accepted;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;isMarine;isBrackish;isFresh;isTerrestrial
Merlangius merlangus;;126438;exact;accepted;Merlangius merlangus;126438;Merlangius merlangus;Animalia;Chordata;Actinopterygii;Gadiformes;Gadidae;Merlangius;;merlangus;;1;0;0;0
Gadus morhua;;126436;exact;accepted;Gadus morhua;126436;Gadus morhua;Animalia;Chordata;Actinopterygii;Gadiformes;Gadidae;Gadus;;morhua;;1;1;0;0
Trachurus trachurus;;126822;exact;accepted;Trachurus trachurus;126822;Trachurus trachurus;Animalia;Chordata;Actinopterygii;Perciformes;Carangidae;Trachurus;;trachurus;;1;0;0;0
Sprattus sprattus;;126425;exact;accepted;Sprattus sprattus;126425;Sprattus sprattus;Animalia;Chordata;Actinopterygii;Clupeiformes;Clupeidae;Sprattus;;sprattus;;1;1;0;0
Pleuronectes platessa;;127143;exact;accepted;Pleuronectes platessa;127143;Pleuronectes platessa;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Pleuronectidae;Pleuronectes;;platessa;;1;1;0;0
Limanda limanda;;127139;exact;accepted;Limanda limanda;127139;Limanda limanda;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Pleuronectidae;Limanda;;limanda;;1;0;0;0
Solea solea;;127160;exact;accepted;Solea solea;127160;Solea solea;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Soleidae;Solea;;solea;;1;1;0;0
Clupea harengus;;126417;exact;accepted;Clupea harengus;126417;Clupea harengus;Animalia;Chordata;Actinopterygii;Clupeiformes;Clupeidae;Clupea;;harengus;;1;1;0;0
Callionymus lyra;;126792;exact;accepted;Callionymus lyra;126792;Callionymus lyra;Animalia;Chordata;Actinopterygii;Perciformes;Callionymidae;Callionymus;;lyra;;1;0;0;0
Trisopterus minutus;;126446;exact;accepted;Trisopterus minutus;126446;Trisopterus minutus;Animalia;Chordata;Actinopterygii;Gadiformes;Gadidae;Trisopterus;;minutus;;1;0;0;0
Scomber scombrus;;127023;exact;accepted;Scomber scombrus;127023;Scomber scombrus;Animalia;Chordata;Actinopterygii;Perciformes;Scombridae;Scomber;;scombrus;;1;1;0;0
Trisopterus luscus;;126445;exact;accepted;Trisopterus luscus;126445;Trisopterus luscus;Animalia;Chordata;Actinopterygii;Gadiformes;Gadidae;Trisopterus;;luscus;;1;1;0;0
Zeus faber;;127427;exact;accepted;Zeus faber;127427;Zeus faber;Animalia;Chordata;Actinopterygii;Zeiformes;Zeidae;Zeus;;faber;;1;1;0;0
Pollachius pollachius;;126440;exact;accepted;Pollachius pollachius;126440;Pollachius pollachius;Animalia;Chordata;Actinopterygii;Gadiformes;Gadidae;Pollachius;;pollachius;;1;0;0;0
Scyliorhinus canicula;;105814;exact;accepted;Scyliorhinus canicula;105814;Scyliorhinus canicula;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Scyliorhinidae;Scyliorhinus;;canicula;;1;0;0;0
Raja clavata;;105883;exact;accepted;Raja clavata;105883;Raja clavata;Animalia;Chordata;Elasmobranchii;Rajiformes;Rajidae;Raja;;clavata;;1;0;0;0
Chelidonichthys lucerna;;127262;exact;accepted;Chelidonichthys lucerna;127262;Chelidonichthys lucerna;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Triglidae;Chelidonichthys;;lucerna;;1;0;0;0
Trigloporus lastoviza;;154462;exact;unaccepted;Trigloporus lastoviza;127261;Chelidonichthys lastoviza;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Triglidae;Trigloporus;;lastoviza;;1;0;0;0
Taurulus bubalis;;127204;exact;accepted;Taurulus bubalis;127204;Taurulus bubalis;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Cottidae;Taurulus;;bubalis;;1;1;0;0
Spondyliosoma cantharus;;127066;exact;accepted;Spondyliosoma cantharus;127066;Spondyliosoma cantharus;Animalia;Chordata;Actinopterygii;Perciformes;Sparidae;Spondyliosoma;;cantharus;;1;0;0;0
Sardina pilchardus;;126421;exact;accepted;Sardina pilchardus;126421;Sardina pilchardus;Animalia;Chordata;Actinopterygii;Clupeiformes;Clupeidae;Sardina;;pilchardus;;1;1;1;0
Scophthalmus rhombus;;127150;exact;accepted;Scophthalmus rhombus;127150;Scophthalmus rhombus;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Scophthalmidae;Scophthalmus;;rhombus;;1;0;0;0
Trigla lyra;;127266;exact;accepted;Trigla lyra;127266;Trigla lyra;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Triglidae;Trigla;;lyra;;1;0;0;0
Chelidonichthys cuculus;;127259;exact;accepted;Chelidonichthys cuculus;127259;Chelidonichthys cuculus;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Triglidae;Chelidonichthys;;cuculus;;1;0;0;
Agonus cataphractus;;127190;exact;accepted;Agonus cataphractus;127190;Agonus cataphractus;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Agonidae;Agonus;;cataphractus;;1;0;0;0
Mullus surmuletus;;126986;exact;accepted;Mullus surmuletus;126986;Mullus surmuletus;Animalia;Chordata;Actinopterygii;Perciformes;Mullidae;Mullus;;surmuletus;;1;0;0;0
Raja montagui;;105887;exact;accepted;Raja montagui;105887;Raja montagui;Animalia;Chordata;Elasmobranchii;Rajiformes;Rajidae;Raja;;montagui;;1;0;0;0
Scyliorhinus stellaris;;105815;exact;accepted;Scyliorhinus stellaris;105815;Scyliorhinus stellaris;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Scyliorhinidae;Scyliorhinus;;stellaris;;1;0;0;0
Engraulis encrasicolus;;126426;exact;accepted;Engraulis encrasicolus;126426;Engraulis encrasicolus;Animalia;Chordata;Actinopterygii;Clupeiformes;Engraulidae;Engraulis;;encrasicolus;;1;1;0;0
Buglossidium luteum;;127153;exact;accepted;Buglossidium luteum;127153;Buglossidium luteum;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Soleidae;Buglossidium;;luteum;;1;0;0;0
Raja undulata;;105891;exact;accepted;Raja undulata;105891;Raja undulata;Animalia;Chordata;Elasmobranchii;Rajiformes;Rajidae;Raja;;undulata;;1;0;0;0
Dicentrarchus labrax;;126975;exact;accepted;Dicentrarchus labrax;126975;Dicentrarchus labrax;Animalia;Chordata;Actinopterygii;Perciformes;Moronidae;Dicentrarchus;;labrax;;1;1;1;0
Lophius piscatorius;;126555;exact;accepted;Lophius piscatorius;126555;Lophius piscatorius;Animalia;Chordata;Actinopterygii;Lophiiformes;Lophiidae;Lophius;;piscatorius;;1;0;0;0
Raja brachyura;;;ambiguous;;;;;;;;;;;;;;;;;
Raja microocellata;;105885;exact;accepted;Raja microocellata;105885;Raja microocellata;Animalia;Chordata;Elasmobranchii;Rajiformes;Rajidae;Raja;;microocellata;;1;0;0;0
Belone belone;;126375;exact;accepted;Belone belone;126375;Belone belone;Animalia;Chordata;Actinopterygii;Beloniformes;Belonidae;Belone;;belone;;1;1;0;0
Mustelus asterias;;105821;exact;accepted;Mustelus asterias;105821;Mustelus asterias;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Triakidae;Mustelus;;asterias;;1;0;0;0
Mustelus mustelus;;105822;exact;accepted;Mustelus mustelus;105822;Mustelus mustelus;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Triakidae;Mustelus;;mustelus;;1;0;0;0
Psetta maxima;;154473;exact;unaccepted;Psetta maxima;127149;Scophthalmus maximus;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Scophthalmidae;Psetta;;maxima;;1;1;0;0
Platichthys flesus;;127141;exact;accepted;Platichthys flesus;127141;Platichthys flesus;Animalia;Chordata;Actinopterygii;Pleuronectiformes;Pleuronectidae;Platichthys;;flesus;;1;1;1;0
Eutrigla gurnardus;;150637;exact;accepted;Eutrigla gurnardus;150637;Eutrigla gurnardus;Animalia;Chordata;Actinopterygii;Scorpaeniformes;Triglidae;Eutrigla;;gurnardus;;1;1;0;0
Alosa alosa;;126413;exact;accepted;Alosa alosa;126413;Alosa alosa;Animalia;Chordata;Actinopterygii;Clupeiformes;Clupeidae;Alosa;;alosa;;1;1;1;0
Leucoraja naevus;;105876;exact;accepted;Leucoraja naevus;105876;Leucoraja naevus;Animalia;Chordata;Elasmobranchii;Rajiformes;Rajidae;Leucoraja;;naevus;;1;0;0;0
Liza aurata;;126978;exact;unaccepted;Liza aurata;1044127;Chelon auratus;Animalia;Chordata;Actinopterygii;Perciformes;Mugilidae;Liza;;aurata;;1;1;1;0
Galeorhinus galeus;;105820;exact;accepted;Galeorhinus galeus;105820;Galeorhinus galeus;Animalia;Chordata;Elasmobranchii;Carcharhiniformes;Triakidae;Galeorhinus;;galeus;;1;0;0;0
