RecordType,Survey,Quarter,Country,Ship,Gear,SweepLngt,GearExp,DoorType,StNo,HaulNo,Year,SpecCodeType,SpecCode,AreaType,AreaCode,LngtCode,LngtClass,Sex,Maturity,PlusGr,AgeRings,NoAtLngt,IndWgt,ValidAphiaID,ScientificName_WoRMS,DateofCalculation
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06088,88,2006,W,126438,0,27E9,1,32,-9,-9,-9,1,2,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06088,88,2006,W,126438,0,27E9,1,33,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06089,89,2006,W,126438,0,27E9,1,31,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06079,79,2006,W,126438,0,28E9,1,31,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06110,110,2006,W,126986,0,28E9,1,34,F,-9,-9,4,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06076,76,2006,W,126438,0,28F0,1,42,-9,-9,-9,2,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06029,29,2006,W,126438,0,29F1,1,16,-9,-9,-9,0,2,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06029,29,2006,W,126438,0,29F1,1,17,-9,-9,-9,0,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06029,29,2006,W,126438,0,29F1,1,18,-9,-9,-9,0,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06029,29,2006,W,126438,0,29F1,1,19,-9,-9,-9,0,2,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06029,29,2006,W,126438,0,29F1,1,20,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06029,29,2006,W,126438,0,29F1,1,21,-9,-9,-9,0,2,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06037,37,2006,W,126986,0,29F1,1,22,F,62,-9,1,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06030,30,2006,W,126986,0,29F1,1,28,F,62,-9,4,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06036,36,2006,W,126986,0,29F1,1,22,-9,-9,-9,1,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06033,33,2006,W,126986,0,29F1,1,19,M,63,-9,1,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06033,33,2006,W,126986,0,29F1,1,20,M,63,-9,1,2,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06033,33,2006,W,126986,0,29F1,1,22,M,63,-9,3,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06033,33,2006,W,126986,0,29F1,1,28,F,62,-9,3,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06030,30,2006,W,126438,0,29F1,1,31,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06030,30,2006,W,126438,0,29F1,1,31,-9,-9,-9,2,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06034,34,2006,W,126986,0,29F1,1,15,F,61,-9,0,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06031,31,2006,W,126986,0,29F1,1,12,-9,-9,-9,0,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06030,30,2006,W,126986,0,29F1,1,26,F,62,-9,3,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06030,30,2006,W,126986,0,29F1,1,27,F,62,-9,3,1,-9.0000,126986,Mullus surmuletus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06035,35,2006,W,126438,0,29F1,1,40,-9,-9,-9,2,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06031,31,2006,W,126438,0,29F1,1,28,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06031,31,2006,W,126438,0,29F1,1,30,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06031,31,2006,W,126438,0,29F1,1,31,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06031,31,2006,W,126438,0,29F1,1,35,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06031,31,2006,W,126438,0,29F1,1,35,-9,-9,-9,2,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06035,35,2006,W,126438,0,29F1,1,31,-9,-9,-9,2,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06035,35,2006,W,126438,0,29F1,1,32,-9,-9,-9,1,5,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06035,35,2006,W,126438,0,29F1,1,33,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06035,35,2006,W,126438,0,29F1,1,34,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06035,35,2006,W,126438,0,29F1,1,36,-9,-9,-9,2,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06035,35,2006,W,126438,0,29F1,1,38,-9,-9,-9,2,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06029,29,2006,W,126438,0,29F1,1,36,-9,-9,-9,3,1,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06013,13,2006,W,126438,0,31F1,1,26,-9,-9,-9,1,3,-9.0000,126438,Merlangius merlangus,20170914
CA,FR-CGFS,4,FRA,GWD,GOV,50,-9,R,C06013,13,2006,W,126438,0,31F1,1,28,-9,-9,-9,1,1,-9.0000,126438,Merlangius merlangus,20170914
