Species,LifeSpan,DemersPelag,DepthShallow,DepthDeep,Migratory,FertilizationType,SpawningFreq,FoodTroph,MaturityAge,Distrib,IUCN status
Agonus cataphractus,3,demersal,35,270,oceanodromous,external,one clear seasonal peak per year,3.26,1,"Atlantic, Northeast",Least Concern
Alopias vulpinus,25,pelagic-oceanic,0,200,oceanodromous,internal (oviduct),NA,4.37,13,"Atlantic, Eastern Central:Atlantic, Northeast:Atlantic, Northwest:Atlantic, Southeast:Atlantic, Southwest:Atlantic, Western Central:Indian Ocean, Eastern:Indian Ocean, Western:Mediterranean and Black Sea:Pacific, Eastern Central:Pacific, Northeast:Pacific, Northwest:Pacific, Southeast:Pacific, Southwest:Pacific, Western Central",Vulnerable
Alosa alosa,10,pelagic-neritic,0,300,anadromous,external,once in a lifetime,3.62,1,"Africa-Inland Waters:Atlantic, Eastern Central:Atlantic, Northeast:Europe - Inland waters:Mediterranean and Black Sea",Least Concern
Alosa fallax,25,pelagic-neritic,0,300,anadromous,external,one clear seasonal peak per year,3.589999914,1,"Africa-Inland Waters:Asia - Inland waters:Atlantic, Eastern Central:Atlantic, Northeast:Europe - Inland waters:Mediterranean and Black Sea",Least Concern
Ammodytes tobianus,7,demersal,1,96,oceanodromous,external,one clear seasonal peak per year,3.16,2.5,"Atlantic, Northeast:Mediterranean and Black Sea",Data Deficient
Anguilla anguilla,88,demersal,0,700,catadromous,external,once in a lifetime,3.67,4.5,"Africa-Inland Waters:Asia - Inland waters:Atlantic, Eastern Central:Atlantic, Northeast:Atlantic, Western Central:Europe - Inland waters:Mediterranean and Black Sea",Critically Endangered
Arnoglossus laterna,7.5,demersal,10,100,oceanodromous,external,one clear seasonal peak per year,3.49000001,3,"Atlantic, Eastern Central:Atlantic, Northeast:Atlantic, Southeast:Mediterranean and Black Sea",Least Concern
Atherina presbyter,4,pelagic-neritic,NA,NA,oceanodromous,external,one clear seasonal peak per year,3.67,NA,"Atlantic, Eastern Central:Atlantic, Northeast:Mediterranean and Black Sea",Data Deficient
Balistes capriscus,16,reef-associated,0,55,oceanodromous,external,one clear seasonal peak per year,3.45,1.5,"Atlantic, Eastern Central:Atlantic, Northeast:Atlantic, Northwest:Atlantic, Southeast:Atlantic, Southwest:Atlantic, Western Central:Mediterranean and Black Sea:Pacific, Southeast",Near Threatened
Belone belone,NA,pelagic-oceanic,0,20,oceanodromous,external,one clear seasonal peak per year,4.5,2,"Atlantic, Eastern Central:Atlantic, Northeast:Mediterranean and Black Sea",Least Concern
