Campagne;Annee;Trait;Espece;Nombre;Poids
CGFS;1988;1;ECITVIP;18;NA
CGFS;1988;1;GADUMOR;21;55
CGFS;1988;1;FMAMMOD;4;NA
CGFS;1988;1;LIMDLIM;29;1.5
CGFS;1988;1;MERNMER;60;8.6
CGFS;1988;1;PLATFLE;1;0.9
CGFS;1988;1;PLEUPLA;13;3.1
CGFS;1988;1;RAJACLA;1;0
CGFS;1988;1;SOLESOL;7;0.9
CGFS;1988;1;TRISLUS;133;11.2
CGFS;1988;1;TRISMIN;135;3
CGFS;1988;2;CHELCUC;10;2.8
CGFS;1988;2;DICELAB;1;1.4
CGFS;1988;2;EUTRGUR;1;0
CGFS;1988;2;GADUMOR;2;3.2
CGFS;1988;2;LIMDLIM;6;1.7
CGFS;1988;2;MICTKIT;6;0.9
CGFS;1988;2;SCOMSCO;2;0.4
CGFS;1988;2;SPONCAN;8;0.6
CGFS;1988;2;SQUAACA;1;0.8
CGFS;1988;2;TRACTRA;193;32.8
CGFS;1988;2;TRIGLYR;2;2
CGFS;1988;2;TRISMIN;70;1
CGFS;1988;3;AGONCAT;35;NA
CGFS;1988;3;ANGUANG;1;0.1
CGFS;1988;3;CALM;17;NA
CGFS;1988;3;CANCPAG;7;NA
CGFS;1988;3;CHELCUC;2;0.5
CGFS;1988;3;GADUMOR;25;57.8
CGFS;1988;3;LIMDLIM;180;9.8
CGFS;1988;3;MERNMER;4;1
CGFS;1988;3;MICTKIT;74;20.8
CGFS;1988;3;NECOPUB;25;NA
CGFS;1988;3;PLEUPLA;154;47
CGFS;1988;3;POLLPOL;1;0.6
CGFS;1988;3;RAJACLA;6;1.3
CGFS;1988;3;SOLESOL;17;2.8
CGFS;1988;3;TRISLUS;202;22.5
CGFS;1988;3;TRISMIN;258;7.8
CGFS;1988;4;AGONCAT;9;NA
CGFS;1988;4;CALM;7;NA
CGFS;1988;4;CRAGCRA;5;NA
CGFS;1988;4;EUTRGUR;1;0
CGFS;1988;4;GADUMOR;4;3.2
CGFS;1988;4;LIMDLIM;19;0.6
CGFS;1988;4;MERNMER;7;0.9
CGFS;1988;4;PLEUPLA;17;3.9
CGFS;1988;4;RAJACLA;2;0.4
CGFS;1988;4;SOLESOL;3;0.1
CGFS;1988;4;TRISLUS;70;3.3
CGFS;1988;4;TRISMIN;172;3.9
CGFS;1988;5;CALM;5;NA
CGFS;1988;5;CANCPAG;1;0.3
CGFS;1988;5;ECITVIP;42;0.9
CGFS;1988;5;GADUMOR;9;21.1
CGFS;1988;5;LIMDLIM;51;4.4
CGFS;1988;5;MERNMER;26;5.4
CGFS;1988;5;PLATFLE;2;1.4
CGFS;1988;5;PLEUPLA;47;11
CGFS;1988;5;RAJACLA;1;0.3
CGFS;1988;5;SOLESOL;3;0.4
CGFS;1988;5;SPRASPR;2;0
CGFS;1988;5;TRACTRA;6;1.5
CGFS;1988;5;TRISLUS;155;8.9
CGFS;1988;5;TRISMIN;279;6.4
CGFS;1988;6;AGONCAT;25;0.1
CGFS;1988;6;ANGUANG;1;0
CGFS;1988;6;BUGLLUT;3;NA
CGFS;1988;6;CALM;83;0.8
CGFS;1988;6;CRAGCRA;81;0.1
CGFS;1988;6;ECITVIP;1;NA
CGFS;1988;6;LIMDLIM;33;1
CGFS;1988;6;MERNMER;232;8.1
CGFS;1988;6;MICTKIT;1;0
CGFS;1988;6;NECOPUB;8;0.6
CGFS;1988;6;PLATFLE;5;2
CGFS;1988;6;PLEUPLA;65;13.7
CGFS;1988;6;RAJACLA;1;0.4
CGFS;1988;6;SOLESOL;2;0.1
CGFS;1988;6;SPRASPR;8;0
CGFS;1988;6;TRACTRA;1;0
CGFS;1988;6;TRIGLYR;1;NA
CGFS;1988;6;TRISLUS;114;5
CGFS;1988;6;TRISMIN;34;0.8
CGFS;1988;7;CALM;2;NA
CGFS;1988;7;ECITVIP;12;0.2
CGFS;1988;7;GADUMOR;2;1.4
CGFS;1988;7;FMAMMOD;1;NA
CGFS;1988;7;LIMDLIM;60;8.6
CGFS;1988;7;LIZAAUR;5;3
CGFS;1988;7;MERNMER;78;12
CGFS;1988;7;PLATFLE;1;0.6
CGFS;1988;7;PLEUPLA;36;5.7
CGFS;1988;7;RAJACLA;2;0.4
CGFS;1988;7;SCOMSCO;8;1.9
CGFS;1988;7;SPRASPR;3;0
CGFS;1988;7;TRACTRA;44;7
CGFS;1988;7;TRISLUS;269;11.8
CGFS;1988;7;TRISMIN;19;0.5
CGFS;1988;8;CALM;5;NA
CGFS;1988;8;CHELLUC;2;0.8
CGFS;1988;8;ECITVIP;76;1.4
CGFS;1988;8;GADUMOR;10;20.7
CGFS;1988;8;FMAMMOD;1;0
CGFS;1988;8;LIMDLIM;274;31.2
CGFS;1988;8;MERNMER;282;43.6
CGFS;1988;8;PLEUPLA;87;18.4
CGFS;1988;8;TRACTRA;30;6.2
CGFS;1988;8;TRIGLYR;3;0
CGFS;1988;8;TRISLUS;484;21.2
CGFS;1988;8;TRISMIN;526;13.9
CGFS;1988;9;CHELCUC;5;1.2
CGFS;1988;9;ECITVIP;1;NA
CGFS;1988;9;GADUMOR;1;0.8
CGFS;1988;9;LIMDLIM;15;2.5
CGFS;1988;9;MERNMER;2;0.5
CGFS;1988;9;PLEUPLA;3;0.8
CGFS;1988;9;SEPIOFF;1;0.5
CGFS;1988;9;SOLESOL;1;0.5
CGFS;1988;9;TRACTRA;414;5.4
CGFS;1988;9;TRIGLYR;2;1.1
CGFS;1988;9;TRISMIN;194;1.6
CGFS;1988;10;CALM;2;NA
CGFS;1988;10;CHELCUC;8;1.3
CGFS;1988;10;EUTRGUR;3;0.7
CGFS;1988;10;GADUMOR;1;4.1
CGFS;1988;10;FMAMMOD;1;NA
CGFS;1988;10;LIMDLIM;13;2.7
CGFS;1988;10;LOLI;2;1.1
CGFS;1988;10;MERNMER;1;0.4
CGFS;1988;10;MICTKIT;1;0.3
CGFS;1988;10;SCOMSCO;1;0.6
CGFS;1988;10;SEPIOFF;5;3
CGFS;1988;10;SPONCAN;8;0.7
CGFS;1988;10;TRACTRA;304;5.7
CGFS;1988;10;TRIGLYR;6;1.9
CGFS;1988;10;TRISMIN;1325;11.9
CGFS;1988;11;CHELCUC;39;10.6
CGFS;1988;11;GADUMOR;3;3.9
CGFS;1988;11;LIMDLIM;4;0.9
CGFS;1988;11;MERNMER;1;0.5
CGFS;1988;11;MULLSUR;1;0.7
CGFS;1988;11;PLEUPLA;29;15.1
CGFS;1988;11;SCYOCAN;9;7.7
CGFS;1988;11;SEPIOFF;3;2.6
CGFS;1988;11;SOLESOL;5;2.4
CGFS;1988;11;SPONCAN;7;1.8
CGFS;1988;11;TRACTRA;105;15
CGFS;1988;11;TRISMIN;48;2.1
CGFS;1988;12;CALM;1;NA
CGFS;1988;12;CHELCUC;22;5.7
CGFS;1988;12;LOLI;1;1.2
CGFS;1988;12;SARDPIL;3;0.3
CGFS;1988;12;SCYOCAN;2;1.7
CGFS;1988;12;SEPIOFF;8;4.8
CGFS;1988;12;TRACTRA;697;14.5
CGFS;1988;12;TRAHDRA;1;0.3
CGFS;1988;13;CHELCUC;3;1.4
CGFS;1988;13;LOLI;5;1.5
CGFS;1988;13;SARDPIL;1;0.6
CGFS;1988;13;SCOMSCO;4;1.3
CGFS;1988;13;SEPIOFF;40;34.4
CGFS;1988;13;SPONCAN;7;1
CGFS;1988;13;TRACTRA;1403;20.3
CGFS;1988;13;TRGPLAS;1;0.8
CGFS;1988;13;TRIGLYR;1;1
CGFS;1988;13;TRISMIN;679;28.9
CGFS;1988;14;CALM;6;NA
CGFS;1988;14;CHELCUC;1;0.4
CGFS;1988;14;ENGRENC;372;1.7
CGFS;1988;14;GADUMOR;1;2.7
CGFS;1988;14;LIMDLIM;4;1.2
CGFS;1988;14;LOLI;3;1.2
CGFS;1988;14;MICTKIT;2;0.5
