Campagne;Annee;Trait;Mois;Strate;SurfaceBalayee;Lat;Long;ProfMoy
CGFS;1988;1;10;30F1;0.01100;50.91866;1.63633;26
CGFS;1988;2;10;30F1;0.03400;50.85800;1.33633;34
CGFS;1988;3;10;30F1;0.01500;50.77166;1.55299;23
CGFS;1988;4;10;30F1;0.02000;50.66766;1.54133;26
CGFS;1988;5;10;30F1;0.01500;50.58533;1.51866;30
CGFS;1988;6;10;29F1;0.01100;50.47366;1.54033;20
CGFS;1988;7;10;29F1;0.02200;50.32166;1.42366;21
CGFS;1988;8;10;29F1;0.02400;50.35499;1.42266;25
CGFS;1988;9;10;29F1;0.01500;50.45299;1.20299;28
CGFS;1988;10;10;30F1;0.02600;50.58533;1.32266;46
CGFS;1988;11;10;29F0;0.02300;50.35800;0.94033;46
CGFS;1988;12;10;29F1;0.01400;50.22466;1.00399;34
CGFS;1988;13;10;29F0;0.04200;50.15100;0.88433;34
CGFS;1988;14;10;29F1;0.01100;50.01866;1.07166;26
CGFS;1988;15;10;29F1;0.02200;50.11966;1.38633;17
CGFS;1988;16;10;29F1;0.00700;50.13533;1.30400;27
CGFS;1988;17;10;29F0;0.03500;50.34033;0.70399;44
CGFS;1988;18;10;30F0;0.03100;50.59033;0.76966;43
CGFS;1988;19;10;30F1;0.03200;50.66766;1.00899;40
CGFS;1988;20;10;30F0;0.02200;50.79133;0.85199;40
CGFS;1988;21;10;30F0;0.01700;50.87266;0.83833;21
CGFS;1988;22;10;30F0;0.02000;50.80400;0.58533;22
CGFS;1988;23;10;30F0;0.02500;50.67566;0.58333;58
CGFS;1988;24;10;28F1;0.01600;49.98733;1.17566;24
CGFS;1988;25;10;28F0;0.01600;49.96666;0.82366;30
CGFS;1988;26;10;29F0;0.03000;50.04133;0.70700;33
CGFS;1988;27;10;28F0;0.01800;49.90800;0.61666;30
CGFS;1988;28;10;28F0;0.02600;49.84999;0.44133;30
CGFS;1988;29;10;29F0;0.03500;50.10599;0.43833;45
CGFS;1988;30;10;29F0;0.03200;50.30300;0.43333;48
CGFS;1988;31;10;29F0;0.02500;50.20700;0.16766;45
CGFS;1988;32;10;28F0;0.03200;49.80199;0.13433;33
CGFS;1988;33;10;28E9;0.03500;49.90299;-0.10899;45
