Année;Mois;Débit (m3/s)
1974;1;478.00
1974;2;542.00
1974;3;511.00
1974;4;397.00
1974;5;255.00
1974;6;178.00
1974;7;163.00
1974;8;143.00
1974;9;184.00
1974;10;433.00
1974;11;609.00
1974;12;729.00
1975;1;878.00
1975;2;790.00
1975;3;574.00
1975;4;802.00
1975;5;515.00
1975;6;293.00
1975;7;244.00
1975;8;203.00
1975;9;243.00
1975;10;271.00
1975;11;381.00
1975;12;566.00
1976;1;378.00
1976;2;630.00
1976;3;376.00
1976;4;250.00
1976;5;183.00
1976;6;117.00
1976;7;101.00
1976;8;97.00
1976;9;102.00
1976;10;107.00
1976;11;156.00
1976;12;389.00
1977;1;353.00
1977;2;1250.00
1977;3;769.00
1977;4;571.00
1977;5;554.00
1977;6;417.00
1977;7;334.00
1977;8;334.00
1977;9;298.00
1977;10;275.00
1977;11;480.00
1977;12;587.00
1978;1;741.00
1978;2;1400.00
1978;3;1310.00
1978;4;1290.00
1978;5;736.00
1978;6;475.00
1978;7;401.00
1978;8;284.00
1978;9;222.00
1978;10;207.00
1978;11;225.00
1978;12;273.00
1979;1;556.00
1979;2;1280.00
1979;3;1350.00
1979;4;1180.00
1979;5;711.00
1979;6;677.00
1979;7;317.00
1979;8;292.00
1979;9;262.00
1979;10;286.00
1979;11;512.00
1979;12;881.00
1980;1;819.00
1980;2;1420.00
1980;3;951.00
1980;4;687.00
1980;5;375.00
1980;6;349.00
1980;7;614.00
1980;8;354.00
1980;9;298.00
1980;10;321.00
1980;11;359.00
1980;12;677.00
1981;1;1470.00
1981;2;1010.00
1981;3;977.00
1981;4;702.00
1981;5;519.00
1981;6;580.00
1981;7;477.00
1981;8;387.00
1981;9;334.00
1981;10;795.00
1981;11;808.00
1981;12;1430.00
1982;1;1920.00
1982;2;1120.00
1982;3;742.00
1982;4;622.00
1982;5;380.00
1982;6;302.00
1982;7;242.00
1982;8;213.00
1982;9;222.00
1982;10;472.00
1982;11;436.00
1982;12;1290.00
1983;1;1110.00
1983;2;975.00
1983;3;878.00
1983;4;1490.00
1983;5;1280.00
1983;6;822.00
1983;7;429.00
1983;8;347.00
1983;9;334.00
1983;10;271.00
1983;11;243.00
1983;12;343.00
1984;1;822.00
1984;2;1340.00
1984;3;520.00
1984;4;540.00
1984;5;388.00
1984;6;415.00
1984;7;281.00
1984;8;236.00
1984;9;310.00
1984;10;599.00
1984;11;720.00
1984;12;781.00
1985;1;629.00
1985;2;749.00
1985;3;589.00
1985;4;762.00
1985;5;823.00
1985;6;529.00
1985;7;333.00
1985;8;278.00
1985;9;271.00
1985;10;285.00
1985;11;270.00
1985;12;276.00
