IDENTIFIANT_TAXON_HARMONIE;CODE_PERMANENT_REFTAX;CODE_MNEMONIQUE_REFTAX;APHIA_ID_WORMS;NOM_VALIDE;EST_REFERENT;CODE_LIEN_REFERENT_SYNONYME;NUMERO_D_ORDRE_SYSTEMATIQUE;NIVEAU_SYSTEMATIQUE;IDENTIFIANT_TAXON_PERE;IDENTIFIANT_AUTEUR_DATE;AUTEUR_DATE
34561;7637;UU;;Biota;OUI;7637;1;Biota;;;
17748;2295;RGARCHA;8;Archaea;OUI;2295;1920000;Règne;34561;1011;Woese, Kandler & Wheelis, 1990
17749;2292;RGBACTE;6;Bacteria;OUI;2292;2000000;Règne;34561;;
31021;2292;RGBACTE;147415;Monera;NON;2292;2000000;Règne;34561;;
31023;7639;MBFIRMI;377975;Firmicutes;OUI;7639;2001000;Embranchement;17749;;
37330;12600;MBTENER;567359;Tenericutes;OUI;12600;2005000;Embranchement;17749;6727;Murray, 1984
31024;7638;CLMOLLI;567360;Mollicutes;OUI;7638;2005100;Classe;37330;6615;Edward & Freundt, 1967
17755;2302;ORMYCOP;567365;Mycoplasmatales;OUI;2302;2005110;Ordre;31024;6616;Freundt, 1955
21424;7144;SGGRACI;146536;Gracilicutes;OUI;7144;2010000;Sous-règne;17749;;
31025;7605;MBCYANO;146537;Cyanobacteria;OUI;7605;2015000;Embranchement;21424;6971;Stanier ex Cavalier-Smith, 2002
21425;7145;CLCYANO;146542;Cyanophyceae;OUI;7145;2101100;Classe;31025;4527;Schaffner, 1909
37331;12601;MBCHLAM;564164;Chlamydiae;OUI;12601;2104000;Embranchement;17749;;
37332;12602;CLCHLAM;564165;Chlamydiia;OUI;12602;2104500;Classe;37331;6728;Horn, 2011
37327;12597;ORCHLAM;564166;Chlamydiales;OUI;12597;2105000;Ordre;37332;6726;Storz & Page, 1971
17754;2301;FMCLAMY;564167;Chlamydiaceae;OUI;2301;2111100;Famille;37327;1013;Rake, 1957
23636;2301;FMCLAMY;296334;Chlamydies;NON;2301;2111100;Famille;37327;;
22074;7285;MBPROTE;178054;Proteobacteria;OUI;7285;2200000;Embranchement;17749;;
37328;12598;CLALPHA;392750;Alphaproteobacteria;OUI;12598;2210000;Classe;22074;;
37329;12599;ORRICKE;570969;Rickettsiales;OUI;12599;2215000;Ordre;37328;;
22073;7284;CLGAMMA;393018;Gammaproteobacteria;OUI;7284;2250000;Classe;22074;;
22075;7286;ORVIBRI;393078;Vibrionales;OUI;7286;2300000;Ordre;22073;;
17746;2293;FMVIBRI;393079;Vibrionaceae;OUI;2293;2310000;Famille;22075;1010;Véron, 1965
38596;13850;GRIM;571514;Grimontia;OUI;13850;2310300;Genre;17746;7352;Thompson, Hoste, Vandemeulebroecke & Swings, 2003
38597;2580;GRIMHOL;889881;Grimontia hollisae;OUI;2580;2310430;Espèce;38596;7290;(Hickman et al., 1982)
18031;2580;GRIMHOL;;Vibrio hollisae;NON;2580;2310430;Espèce;38596;7290;(Hickman et al., 1982)
38593;13847;LIST;571515;Listonella;OUI;13847;2310500;Genre;17746;7351;MacDonell & Colwell, 1985
38594;2574;LISTANG;889990;Listonella anguillara;OUI;2574;2310505;Espèce;38593;7291;(Bergeman, 1909) MacDonell & Colwell, 1985
18025;2574;LISTANG;;Vibrio anguillarum;NON;2574;2310505;Espèce;38593;7291;(Bergeman, 1909) MacDonell & Colwell, 1985
18028;2577;LISTDAM;;Vibrio damsela;NON;2577;2310530;Espèce;38593;7292;(Love, Teebken-Fisher, Hose, Farmer, Hickman & Fanning, 1981) MacDonell & Colwell, 1985
38595;2577;LISTDAM;889992;Listonella damsela;OUI;2577;2310530;Espèce;38593;7292;(Love, Teebken-Fisher, Hose, Farmer, Hickman & Fanning, 1981) MacDonell & Colwell, 1985
17747;2294;VIBR;480248;Vibrio;OUI;2294;2311000;Genre;17746;4334;Pacini, 1854
18024;2573;VIBRALG;480251;Vibrio alginolyticus;OUI;2573;2400000;Espèce;17747;3152;(Miyamoto, Nakamura & Takizawa, 1961) Sakazaki, 1968
18026;2575;VIBRCHN;395085;Vibrio cholerae non-01;OUI;2575;2600000;Espèce;17747;4334;Pacini, 1854
18027;2576;VIBRCHO;395085;Vibrio cholerae 01;OUI;2576;2700000;Espèce;17747;4334;Pacini, 1854
18029;2578;VIBRFLU;;Vibrio fluvialis;OUI;2578;2900000;Espèce;17747;;
18030;2579;VIBRHAR;480249;Vibrio harveyi;OUI;2579;3000000;Espèce;17747;3087;(Johnson & Shunk, 1936) Baumann & Baumann, 1981
18032;2581;VIBRMET;;Vibrio metschnikovii;OUI;2581;3200000;Espèce;17747;;
18033;2582;VIBRMIM;;Vibrio mimicus;OUI;2582;3300000;Espèce;17747;;
18034;2583;VIBRPAR;422811;Vibrio parahaemolyticus;OUI;2583;3400000;Espèce;17747;4506;Sakazaki, Iwanami & Fukumi, 1963
18035;2584;VIBRVUL;395086;Vibrio vulnificus;OUI;2584;3500000;Espèce;17747;3198;(Reichelt, Baumann & Baumann, 1979) Farmer, 1980
17750;2297;VIBRCAR;;Vibrio carchariae;OUI;2297;3600000;Espèce;17747;;
17751;2298;VIBRSPL;570802;Vibrio splendidus;OUI;2298;3700000;Espèce;17747;6592;Reichelt, Baumann & Baumann, 1976
17752;2299;VIBRP01;;Vibrio P1;OUI;2299;3800000;Espèce;17747;;
17742;2288;RGVIRUS;10;Viruses;OUI;2288;3900000;Règne;34561;1008;Margulis & Schwartz, 1998
37151;12417;ORHERPE;600000;Herpesvirales;OUI;12417;3906000;Ordre;17742;;
17743;2289;FMHERPE;600007;Herpesviridae;OUI;2289;3910000;Famille;37151;;
19433;3989;OSTH;;Oyster herpes virus;OUI;3989;3911000;Genre;17743;;
17745;2291;OSTHTY1;;Oyster herpes virus type 1;OUI;2291;3912000;Espèce;19433;;
17744;2290;FMIRIDO;600022;Iridoviridae;OUI;2290;3920000;Famille;17742;;
31027;7606;RGPROTO;5;Protozoa;OUI;7606;4200000;Règne;34561;6617;Owen, 1858
36304;11647;SGSARCO;582160;Sarcomastigota;OUI;11647;4205000;Sous-règne;31027;;
31028;7617;MBAMOEB;391848;Amoebozoa;OUI;7617;4210001;Embranchement;36304;6972;Lühe, 1913, emend. Cavalier-Smith, 1998
36360;11702;SBLOBOS;582168;Lobosa;OUI;11702;4210500;Sous-embranchement = Division (Plantae);31028;;
36320;7618;CLTUBUL;582188;Tubulinea;OUI;7618;4211001;Classe;36360;6973;Smirnov et al., 2005
31029;7618;CLTUBUL;163072;Lobosea;NON;7618;4211001;Classe;36360;;
36302;11645;SGEOZOA;582159;Eozoa;OUI;11645;5000000;Sous-règne;31027;;
36303;11646;IGEXCAV;536210;Excavata;OUI;11646;5100000;Infra-règne;36302;6213;Cavalier-Smith
31035;7611;MBMETAM;562592;Metamonada;OUI;7611;5310000;Embranchement;36303;;
31036;7612;SBTRICH;562594;Trichozoa;OUI;7612;5311000;Sous-embranchement = Division (Plantae);31035;;
38724;13978;UCEOPHA;582174;Eopharyngia;OUI;13978;5311050;Super-classe;31036;;
31037;7613;CLTREPO;562609;Trepomonadea;OUI;7613;5311100;Classe;38724;4895;Wenyon, 1926
17761;7613;CLTREPO;;Diplomonadida;NON;7613;5311100;Ordre;38724;;
