"spp2","spp"
"Abra alba","Abra alba"
"Adamsia carciniopados","Adamsia carciniopados"
"Adamsia palliata","Adamsia palliata"
"Aequipecten opercularis","Aequipecten opercularis"
"Alcyonidium diaphanum","Alcyonidium diaphanum"
"Alcyonidium gelatinosum","Alcyonidium gelatinosum"
"Alcyonium digitatum","Alcyonium digitatum"
"Alopias vulpinus","Alopias vulpinus"
"Anseropoda placenta","Anseropoda placenta"
"Antedon spp.","Antedon"
"Aphrodita aculeata","Aphrodita aculeata"
"Ascidia spp.","Ascidia"
"Ascidiacea spp.","Ascidiacea"
"Asterias rubens","Asterias rubens"
"Atelecyclus undecimdentatus","Atelecyclus undecimdentatus"
"Bivalvia spp.","Bivalvia"
"Botryllus spp.","Botryllus"
"Buccinum undatum","Buccinum undatum"
"Calliostoma granulatum","Calliostoma granulatum"
"Calliostoma zizyphinum","Calliostoma zizyphinum"
"Cancer pagurus","Cancer pagurus"
"Carcinus maenas","Carcinus maenas"
"Chrysaora hysoscella","Chrysaora hysoscella"
"Cirripedia spp.","Cirripedia"
"Crangon crangon","Crangon crangon"
"Crepidula fornicata","Crepidula fornicata"
"Crossaster papposus","Crossaster papposus"
"Diodora graeca","Diodora graeca"
"Doris pseudoargus","Doris pseudoargus"
"Dromia personata","Dromia personata"
"Echinocardium cordatum","Echinocardium cordatum"
"Epizoanthus spp.","Epizoanthus"
"Epizoanthus incrustatus","Epizoanthus incrustatus"
"Eurynome aspera","Eurynome aspera"
"Flustra foliacea","Flustra foliacea"
"Galathea spp.","Galathea"
"Hippocampus hippocampus","Hippocampus"
"Homarus gammarus","Homarus gammarus"
"Hyas coarctatus","Hyas coarctatus"
"Inachus spp.","Inachus"
"Inachus dorsettensis","Inachus dorsettensis"
"Inachus phalangium","Inachus phalangium"
"Liocarcinus spp.","Liocarcinus"
"Liocarcinus depurator","Liocarcinus depurator"
"Liocarcinus holsatus","Liocarcinus holsatus"
"Liocarcinus pusillus","Liocarcinus pusillus"
"Liocarcinus vernalis","Liocarcinus vernalis"
"Liparis liparis","Liparis liparis"
"Liza aurata","Liza aurata"
"Liza ramada","Liza ramada"
"Macropodia spp.","Macropodia"
"Macropodia spp.","Macropodia rostrata"
"Macropodia tenuirostris","Macropodia tenuirostris"
"Maja squinado","Maja brachydactyla"
"Metridium senile","Metridium senile"
"Chlamys varia","Mimachlamys varia"
"Molgulidae spp.","Molgulidae"
"Mytilus edulis","Mytilus edulis"
"Mytilus galloprovincialis","Mytilus galloprovincialis"
"Necora puber","Necora puber"
"Nudibranchia spp.","Nudibranchia"
"Ocenebra erinaceus","Ocenebra erinaceus"
"Ophiothrix fragilis","Ophiothrix fragilis"
"Ophiura albida","Ophiura albida"
"Ophiura ophiura","Ophiura ophiura"
"Ostrea edulis","Ostrea edulis"
"Pagurus bernhardus","Pagurus bernhardus"
"Pagurus bernhardus","Pagurus cuanensis"
"Pagurus prideauxi","Pagurus prideaux"
"Palaemon spp.","Palaemon serratus"
"Pecten maximus","Pecten maximus"
"Pilumnus hirtellus","Pilumnus hirtellus"
"Pisa armata","Pisa armata"
"Pisidia longicornis","Pisidia longicornis"
"Polychaeta spp.","Polychaeta"
"Porifera spp.","Porifera"
"Psammechinus miliaris","Psammechinus miliaris"
"Pyuridae spp.","Pyuridae"
"Rhizostoma spp.","Rhizostoma"
"Rissoides desmaresti","Rissoides desmaresti"
"Styela clava","Styela clava"
"Suberites spp.","Suberites"
"Suberites ficus","Suberites ficus"
"Tethya aurantium","Tethya aurantium"
"Tethya citrina","Tethya citrina"
"Tritonia hombergii","Tritonia hombergii"
"Upogebia deltaura","Upogebia deltaura"
"Urticina felina","Urticina felina"
