Communauté III
Sprattus sprattus
Limanda limanda
Callionymus lyra
Trisopterus minutus
Trisopterus luscus
Taurulus bubalis
Sardina pilchardus
Scophthalmus rhombus
Chelidonichthys cuculus
Agonus cataphractus
Mullus surmuletus
Engraulis encrasicolus
Buglossidium luteum
Alosa alosa
Echiichthys vipera
Pegusa lascaris
Microchirus variegatus
Ciliata mustela
Labrus bergylta
Zeugopterus punctatus
Osmerus eperlanus
Arnoglossus laterna
Chelon labrosus
Blennius ocellaris
Hyperoplus lanceolatus
Ammodytes tobianus
Hippocampus hippocampus
Liparis liparis
Atherina presbyter
Lepadogaster lepadogaster
Myoxocephalus scorpius
Syngnathus acus
Ctenolabrus rupestris
Symphodus bailloni
Symphodus roissali
Gymnammodytes semisquamatus
Gobius gasteveni
Diplecogaster bimaculata
Gobius paganellus
Pomatoschistus minutus
Ciliata septentrionalis
Lepadogaster
Callionymus
Pomatoschistus
Gobiidae
