"","SpeciesName","LifeSpan","BiogeographicRange","MaturityAge","DepthRange","envpos","biozone","Habit","feedingmethod","Sociability","FertilizationType","ReprodFreq","Migratory"
"1","Ostrea edulis","6-10 years",NA,"3-5 years",NA,NA,NA,"Attached",NA,"Gregarious",NA,"Annual protracted",NA
"2","Liocarcinus depurator",NA,NA,"1 year","0 - 450 m",NA,"Sublittoral Fringe (7)","Free living",NA,"Solitary","Internal","Annual protracted",NA
"3","Cancer pagurus","21-50 years",NA,"6-10 years","From intertidal down to 100m",NA,"Mid Eulittoral (5)","Free living",NA,"Solitary","Internal","Annual episodic","Non-migratory / Resident"
"4","Metridium senile","11-20 years",NA,NA,"Lower shore to considerable depths.",NA,"Sublittoral Fringe (7)","Erect",NA,"Gregarious","External",NA,"Non-migratory / Resident"
"5","Alcyonium digitatum","21-50 years",NA,"2-3 years",NA,NA,NA,"Erect",NA,"Colonial",NA,"Annual episodic",NA
"6","Psammechinus miliaris","6-10 years",NA,"1 year","0 - 100 m",NA,"Mid Eulittoral (5)","Free living",NA,"Gregarious","External","Annual protracted","Non-migratory / Resident"
"7","Asterias rubens","6-10 years",NA,"1 year","Intertidal to depths of 650 m.",NA,"Lower Eulittoral (6)","Free living",NA,"Solitary","External","Annual episodic","Non-migratory / Resident"
"8","Ophiothrix fragilis","6-10 years",NA,"< 1 year",NA,NA,"Lower Eulittoral (6)","Free living",NA,"Gregarious",NA,"Annual episodic","Non-migratory / Resident"
"9","Pomatoschistus minutus","1-2 years",NA,"< 1 year","Up to 20 m (sometimes up to 60-70 m)",NA,"Sublittoral Fringe (7)","Free living",NA,"Gregarious",NA,"Annual protracted",NA
"10","Pisidia longicornis","3-5 years",NA,NA,"0 - 100 m",NA,"Mid Eulittoral (5)","Free living",NA,"Solitary",NA,"Annual episodic","Non-migratory / Resident"
"11","Urticina felina","21-50 years",NA,NA,"Down to at least 100m",NA,"Lower Eulittoral (6)","Attached",NA,"Solitary","External","Annual protracted","Non-migratory / Resident"
"12","Pecten maximus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Echinocardium cordatum","11-20 years",NA,NA,"0 - 230 m",NA,"Lower Eulittoral (6)","Burrow dwelling",NA,"Gregarious","External","Annual episodic","Seasonal (reproduction)"
"14","Mytilus edulis","21-50 years",NA,"1-2 years",NA,NA,NA,"Attached",NA,"Gregarious",NA,"Annual protracted",NA
"15","Carcinus maenas","6-10 years",NA,"1-2 years","Intertidal down to 60 m.",NA,"Upper Eulittoral (4)","Free living",NA,"Solitary","Internal","Annual protracted",NA
"16","Crepidula fornicata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","Flustra foliacea","6-10 years",NA,"< 1 year",NA,NA,"Upper Infralittoral (8)","Attached",NA,"Colonial","Internal","Annual episodic","Non-migratory / Resident"
"18","Aphrodita aculeata","6-10 years",NA,"1-2 years",NA,NA,"Upper Infralittoral (8)","Free living",NA,"Solitary","External","Annual episodic","Non-migratory / Resident"
"19","Abra alba","1-2 years",NA,NA,NA,NA,NA,"Burrow dwelling",NA,"Solitary",NA,"Annual protracted",NA
