"","Species","Distrib","NorthernLatitude","SouthernLatitude","WesternLongitude","EasternLongitude","LifeSpan","DemersPelag","DepthShallow","DepthDeep","Migratory","FertilizationType","SpawningFreq","FoodTroph","SpawningGround","Spawningarea","MaturityAge","MaturityLocality"
"1","Merlangius merlangus","Atlantic, Northwest",79,35,95,42,20,"benthopelagic",30,100,"oceanodromous","external","Variable throughout range",3.57,NA,NA,1.5,"North Sea, 1975-94"
"2","Merlangius merlangus","Atlantic, Northeast",90,36,42,69,20,"benthopelagic",30,100,"oceanodromous","external","Variable throughout range",3.57,NA,NA,1.5,"North Sea, 1975-94"
"3","Merlangius merlangus","Atlantic, Northeast",90,36,42,69,20,"benthopelagic",30,100,"oceanodromous","external","Variable throughout range",3.57,NA,NA,1.5,"North Sea, 1975-94"
"4","Merlangius merlangus","Atlantic, Northeast",90,36,42,69,20,"benthopelagic",30,100,"oceanodromous","external","Variable throughout range",3.57,NA,NA,1.5,"North Sea, 1975-94"
"5","Merlangius merlangus","Atlantic, Northeast",90,36,42,69,20,"benthopelagic",30,100,"oceanodromous","external","Variable throughout range",3.57,NA,NA,1.5,"North Sea, 1975-94"
"6","Merlangius merlangus","Atlantic, Northeast",90,36,42,69,20,"benthopelagic",30,100,"oceanodromous","external","Variable throughout range",3.57,NA,NA,1.5,"North Sea, 1975-94"
"7","Merlangius merlangus","Atlantic, Northeast",90,36,42,69,20,"benthopelagic",30,100,"oceanodromous","external","Variable throughout range",3.57,NA,NA,1.5,"North Sea, 1975-94"
"8","Merlangius merlangus","Atlantic, Northeast",90,36,42,69,20,"benthopelagic",30,100,"oceanodromous","external","Variable throughout range",3.57,NA,NA,1.5,"North Sea, 1975-94"
"9","Merlangius merlangus","Mediterranean and Black Sea",49,30,7,42,20,"benthopelagic",30,100,"oceanodromous","external","Variable throughout range",3.57,NA,NA,1.5,"North Sea, 1975-94"
"10","Gadus morhua","Africa-Inland Waters",38,39,25,78,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.8,"North Sea"
"11","Gadus morhua","Africa-Inland Waters",38,39,25,78,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"12","Gadus morhua","Africa-Inland Waters",38,39,25,78,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",4,"North Sea"
"13","Gadus morhua","Africa-Inland Waters",38,39,25,78,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.73,"North Sea (IV, IIIaN, VIId)"
"14","Gadus morhua","Africa-Inland Waters",38,39,25,78,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"15","Gadus morhua","Africa-Inland Waters",38,39,25,78,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.8,"North Sea"
"16","Gadus morhua","Africa-Inland Waters",38,39,25,78,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"17","Gadus morhua","Africa-Inland Waters",38,39,25,78,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",4,"North Sea"
"18","Gadus morhua","Africa-Inland Waters",38,39,25,78,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.73,"North Sea (IV, IIIaN, VIId)"
"19","Gadus morhua","Africa-Inland Waters",38,39,25,78,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"20","Gadus morhua","Atlantic, Northwest",79,35,95,42,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.8,"North Sea"
"21","Gadus morhua","Atlantic, Northwest",79,35,95,42,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"22","Gadus morhua","Atlantic, Northwest",79,35,95,42,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",4,"North Sea"
"23","Gadus morhua","Atlantic, Northwest",79,35,95,42,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.73,"North Sea (IV, IIIaN, VIId)"
"24","Gadus morhua","Atlantic, Northwest",79,35,95,42,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"25","Gadus morhua","Atlantic, Northwest",79,35,95,42,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.8,"North Sea"
"26","Gadus morhua","Atlantic, Northwest",79,35,95,42,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"27","Gadus morhua","Atlantic, Northwest",79,35,95,42,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",4,"North Sea"
"28","Gadus morhua","Atlantic, Northwest",79,35,95,42,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.73,"North Sea (IV, IIIaN, VIId)"
"29","Gadus morhua","Atlantic, Northwest",79,35,95,42,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"30","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.8,"North Sea"
"31","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"32","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",4,"North Sea"
"33","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",3.73,"North Sea (IV, IIIaN, VIId)"
"34","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,NA,"North Sea",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
"35","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.8,"North Sea"
"36","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Eastern English Channel and Skagerrak, 2000-2011"
"37","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",4,"North Sea"
"38","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",3.73,"North Sea (IV, IIIaN, VIId)"
"39","Gadus morhua","Atlantic, Northeast",90,36,42,69,25,"benthopelagic",150,200,"oceanodromous","external","one clear seasonal peak per year",4.29,"coastal","German Bight (North Sea)",2.1,"North Sea, Sub-area IV, Division VIId and IIIa (Skagerrak)"
